product_name,product_price,key
Filet de Boeuf | 500g,16 920 ,supermarche
Viande de Boeuf hachée | 500g,13 100 ,supermarche
Brochette de Coeur de Boeuf  | 500g,10 000 ,supermarche
Brochettes de Trafony (bosse de zébu) | 500g – morceaux gras,18 500 ,supermarche
Brochettes de viande de Zébu et Trafony (bosse de zébu) | 500g,14 620 ,supermarche
Cervelle de Boeuf | 1 pièce env. 400g,9 230 ,supermarche
Entrecôte de Boeuf | 500g,11 540 ,supermarche
Fanangany ou Basse-côte de Boeuf  | 500g,12 310 ,supermarche
Pied de Boeuf | 1 pièce d’environ 1kg,13 850 ,supermarche
Rognon de Boeuf | 500g,12 310 ,supermarche
Rumsteak de Boeuf  | 500g,13 080 ,supermarche
Steak haché pur boeuf 5x100g | 500g – sans assaisonement,13 100 ,supermarche
Trafony ou Bosse de Zébu | 500g – morceau gras,18 460 ,supermarche
Boulette de viande de Boeuf hachée  | 500g,13 100 ,supermarche
Saucisse Chipolatas | 500g – viandes de Porc et de Boeuf,14 770 ,supermarche
Coeur de Boeuf | 500g,10 000 ,supermarche
Coeur de Boeuf préparé | 500g – assaisonné,10 770 ,supermarche
Foie de Boeuf  | 500g,13 850 ,supermarche
Kitoza  de Boeuf préparé | 500g – assaisonné,13 100 ,supermarche
Langue de Boeuf | 1 pièce,26 160 ,supermarche
Saucisse mélange | 500g – Mélange de Boeuf et de Porc,12 310 ,supermarche
Saucisse gasy | 500g – Mélange de Boeuf et de Porc,12 310 ,supermarche
Saucisse pur Boeuf | 500g,11 380 ,supermarche
Silamangany de Boeuf  | 500g – Os avec articulations et ligaments,6 150 ,supermarche
Steak haché de boeuf préparé 5x100g | 500g – assaisonné et salé,13 100 ,supermarche
Steak de Boeuf préparé  | 500g – assaisonné,13 100 ,supermarche
Tranche fine de Boeuf | 500g,13 100 ,supermarche
Tripes de Boeuf | 500g,6 930 ,supermarche
Tsoka ou Os à moelle de Boeuf | environ 500g | Boucherie Tianay™,9 240 ,supermarche
Jarret de boeuf au vin rouge,13 500 ,tsenabe
Tripes à la mode de Caen,13 000 ,tsenabe
Andouillette vin blanc moutarde,13 000 ,tsenabe
Bavette d’Aloyau,30 000 ,tsenabe
Entrecôte,34 000 ,tsenabe
