product_name,product_price
Filet de Boeuf | 500g,16 920 
Viande de Boeuf hachée | 500g,13 100 
Brochette de Coeur de Boeuf  | 500g,10 000 
Brochettes de Trafony (bosse de zébu) | 500g – morceaux gras,18 500 
Brochettes de viande de Zébu et Trafony (bosse de zébu) | 500g,14 620 
Cervelle de Boeuf | 1 pièce env. 400g,9 230 
Entrecôte de Boeuf | 500g,11 540 
Fanangany ou Basse-côte de Boeuf  | 500g,12 310 
Pied de Boeuf | 1 pièce d’environ 1kg,13 850 
Rognon de Boeuf | 500g,12 310 
Rumsteak de Boeuf  | 500g,13 080 
Steak haché pur boeuf 5x100g | 500g – sans assaisonement,13 100 
Trafony ou Bosse de Zébu | 500g – morceau gras,18 460 
Boulette de viande de Boeuf hachée  | 500g,13 100 
Saucisse Chipolatas | 500g – viandes de Porc et de Boeuf,14 770 
Coeur de Boeuf | 500g,10 000 
Coeur de Boeuf préparé | 500g – assaisonné,10 770 
Foie de Boeuf  | 500g,13 850 
Kitoza  de Boeuf préparé | 500g – assaisonné,13 100 
Langue de Boeuf | 1 pièce,26 160 
Saucisse mélange | 500g – Mélange de Boeuf et de Porc,12 310 
Saucisse gasy | 500g – Mélange de Boeuf et de Porc,12 310 
Saucisse pur Boeuf | 500g,11 380 
Silamangany de Boeuf  | 500g – Os avec articulations et ligaments,6 150 
Steak haché de boeuf préparé 5x100g | 500g – assaisonné et salé,13 100 
Steak de Boeuf préparé  | 500g – assaisonné,13 100 
Tranche fine de Boeuf | 500g,13 100 
Tripes de Boeuf | 500g,6 930 
Tsoka ou Os à moelle de Boeuf | environ 500g | Boucherie Tianay™,9 240 
